agent,time
Planning,6.411222457885742
Generating,21.277459383010864
Planning,8.288870096206665
Filtering,12.099245309829712
Planning,6.143484592437744
Generating,105.833824634552
Planning,6.200108766555786
Filtering,16.739171028137207
Planning,8.796267747879028
Generating,9.885097026824951
Planning,8.70605731010437
Filtering,14.323755502700806
Planning,6.494819402694702
Generating,8.704941511154175
Planning,11.761618614196777
Generating,6.355451822280884
Planning,10.003539800643921
Filtering,13.449190855026245
Planning,7.035731315612793
Generating,28.37629461288452
Planning,8.229762077331543
Filtering,9.771034955978394
Planning,13.07666301727295
